smiles,scscore,bulkiness
O=C(O)C1CC2COCC21,2.5837713155300515,14.097854211013331
O=C(O)C1C2CCS(=O)(=O)C21,2.766706781258088,8.333322838417859
O=C(O)CC1CCc2sccc2C1=O,2.4983005216743432,25.456388320516204
O=C(O)C(F)=Cc1ccc(F)c(C(F)(F)F)c1,2.7698872728187163,17.433187755754506
O=C(OCC1c2ccccc2-c2ccccc21)N1CCC(F)(C(=O)O)CC1,2.7345294523943684,18.467940954267647
O=C(O)c1cscc1C(F)F,2.367258405344066,25.02712942181381
O=C(O)CCCC(=O)N(Cc1ccccc1)CC(F)(F)F,2.7392330030951406,26.04954235919048
C=CCOc1ccccc1C(=O)NC1(CC(=O)O)CCCCC1,2.661741648316937,13.566811723567666
O=C(CN1Cc2ccccc2C1)NC1(C(=O)O)CC1,2.8625899098672623,21.276103862486085
O=C(O)c1c(F)cccc1-c1cccc2cccnc12,2.5985221160827834,29.497689641759315
O=C(O)CCCC(=O)NC1COC2(CCCCC2)C1,2.751479401550661,28.70605962880527
O=C(NC(=S)Nc1ccccc1C(=O)O)c1ccccc1Br,2.0401125004153893,25.87857588976754
O=C(O)c1cccc(NC(=S)NC(=O)c2ccccc2Br)c1,2.2863062066275845,27.74158214734551
O=C(O)c1cccc(NC(=S)NC(=O)c2ccc(F)cc2)c1,2.183656914466215,23.782135760649588
O=C(Cc1cccc(C(F)(F)F)c1)N/N=C/c1ccc(C(=O)O)cc1,2.6779894545689964,25.40019029597606
O=C(O)CCc1nccn1,2.3216182945138395,21.139858893318596
O=C(O)Cc1sc(O)nc1O,2.4908473413710723,17.387597006159815
O=C(O)c1ccc(N2C(=O)CSC2=S)cc1,2.082836689055568,26.447459467258145
O=C(Nc1ccc(C(=O)O)cc1)Nc1cc(Cl)ccc1Cl,2.781943873175884,13.682705052057567
O=C(Nc1cccc(C(=O)O)c1)Nc1cccc(C(F)(F)F)c1,2.4399361821313743,28.29752883377304
O=C(O)c1ccc(C(=O)c2ccccc2C(=O)O)cc1,1.9883791914352755,12.274805738925528
O=C(O)c1ccc(NC(=S)Nc2ccccc2)cc1,2.1039555949142312,18.522173869817344
